input,intent
I want an appointment for January twenty fifth between twelve and one,cnfm appt
Send confirmation number,cnfm appt
Correct,cnfm appt
What time is the appointment,cnfm appt
Confirm it,cnfm appt
When is my scheduled appointment,cnfm appt
No I just want to know that they're coming tomorrow service,cnfm appt
To have the technician to call me when you get here,cnfm appt
Call me when the technician getting here because there is a lock,cnfm appt
Verify,cnfm appt
Confirm confirm,cnfm appt
I want to keep the appointment,cnfm appt
Correct,cnfm appt
Because the technician has not called nor has the right,cnfm appt
Crazy appointment in Barnard tomorrow from between eight and nine,cnfm appt
Guy was supposed to be here tonight,cnfm appt
I wanna know when the technician will be here,cnfm appt
Tell me,cnfm appt
I need a technician call me when they're here,cnfm appt
Issues with a technician,cnfm appt
Okay confirmed,cnfm appt
Service call,cnfm appt
Where is my technician,cnfm appt
Where's the technician,cnfm appt
Engineering call me back and he goes there at seven p.m.,cnfm appt
I have not heard from technician,cnfm appt
So it's confirmed between seven and eight o'clock will be call,cnfm appt
What time is the appointment,cnfm appt
Nothing I'm just confirming,cnfm appt
I just needed to verify the appointment,cnfm appt
Oh that appointment is wrong that appointment was scheduled for tomorrow between ten and eleven,cnfm appt
No need for the technician to come to fix the problem,cnfm appt
I was just calling to confirm that,cnfm appt
What time do you have nails make sure we both at the same time,cnfm appt
Just confirming,cnfm appt
Okay I was just making sure,cnfm appt
Just wondering if they were still coming,cnfm appt
About my upcoming upcoming appointment,cnfm appt
Verify information,cnfm appt
Everything is fine I got a call and I was worried it was a problem,cnfm appt
That was a misunderstanding with a appointment they were supposed to come today,cnfm appt
I just wanted to verify that someone is still coming,cnfm appt
You called me,cnfm appt
I'm just just checking on my appointment and then just making sure that my,cnfm appt
I want to know when he's coming when is the technician coming,cnfm appt
Need to know when they're going to arrive,cnfm appt
Do you have an early appointment just said they would let me know,cnfm appt
What time is the technician to arrive,cnfm appt
IgA1 you know what time they was coming,cnfm appt
Basically we have no Internet so basically I'm waiting for a technician to come and solve the problem,cnfm appt
That's okay I'm just making sure somebody is coming,cnfm appt
I just wanna know if my son will be there,cnfm appt
That's all I need to know if I was down,cnfm appt
Spectrum said I need to check spectrums I need to confirm my appointment,cnfm appt
I got a call for my appointment,cnfm appt
I want to confirm an operator,cnfm appt
Will he call me when he gets here,cnfm appt
Just make sure they come,cnfm appt
Just checking,cnfm appt
No that's all I wanted to know is what time they're coming,cnfm appt
Vacating but I didn't make it to the door on time,cnfm appt
Confirming,cnfm appt
When I got a phone call just a few minutes ago I wasn't able to get to the phone quickly and will the technician still come,cnfm appt
I just received a phone call and I wasn't able to get the phone in time is the technician still going to come,cnfm appt
Where's the technician up,cnfm appt
They told me my appointment was for three p.m.,cnfm appt
That's alright just checking on the time thank you,cnfm appt
Just checking on to see if they're coming,cnfm appt
I want to know about my telephone service,cnfm appt
Connect me to the technician,cnfm appt
Okay I just I just wanted to know if they call first,cnfm appt
Confirm appointment,cnfm appt
I did correct reported,cnfm appt
Tell Karen Jeremy that my driver is on the lowest drive,cnfm appt
No that would have been a later appointment that one,cnfm appt
Tell me,cnfm appt
Please tell Jeremy that my driveway is Lois L O I S G I,cnfm appt
I just wanna make sure when you have an appointment I want our business phone line to be removed as well,cnfm appt
No that's fine I'll keep the appointment I just wanted to verify,cnfm appt
No I was just calling to get the time they was coming,cnfm appt
Confirm,cnfm appt
Well it supposed to be earlier not later,cnfm appt
Confirm outage,cnfm appt
I'd like to speak to a customer service agent,cnfm appt
About my appointment with technician technical help,cnfm appt
The web supposed to come today,cnfm appt
That's all I wanted to know is going to be here at three o'clock,cnfm appt
What time is he going Gacy,cnfm appt
You called me,cnfm appt
Calling to confirm that it is still on,cnfm appt
I want to know closer to what time he'll be here,cnfm appt
I want to make sure the technician actually shows up,cnfm appt
Technician,cnfm appt
Confirm appointment,cnfm appt
