input,intent
Yes TV is okay right now can someone cancel the appointment,cncl appt
Yeah I don't want I don't want to speak to you I don't want it I kept telling him cancel it,cncl appt
It was canceled because it was canceled,cncl appt
I want to cancel cable TV on the fourteenth and just keep Internet,cncl appt
I want to take caliphate come TV just popped down I want to cancel the appointment,cncl appt
I am canceling appointment,cncl appt
Don't need any help,cncl appt
I need to cancel your appointment,cncl appt
Cancel card buck,cncl appt
I don't need anymore it's okay the television is okay now,cncl appt
I need to I need to cancel it,cncl appt
I need to cancel my TV is working,cncl appt
Need to cancel my cancel my appointment,cncl appt
I want to I want to cancel,cncl appt
Cancel my phone,cncl appt
Can I cancel it I figured out the problem,cncl appt
Well I want to cancel,cncl appt
Yeah I want to cancel I wanna cancel that,cncl appt
Please cancel the appointment my service is back on,cncl appt
I want to cancel on the account can I talk to somebody please,cncl appt
I wanna cancel it I want to cancel the appointment,cncl appt
I don't need it I don't need help,cncl appt
I want to cancel the whole account,cncl appt
I'd like to cancel employers,cncl appt
I wanted to cancel an appointment,cncl appt
Okay I want to cancel that,cncl appt
I need to speak to a rep to cancel,cncl appt
I want to cancel this order did this guy for me today because I don't need it,cncl appt
No I want to cancel my appointment,cncl appt
Yes I would like to cancel my appointment,cncl appt
I don't know it put me through a rapport I wanna cancel spectrum altogether,cncl appt
I was calling about new services that I might be canceling right now,cncl appt
I want to cancel an appointment on phone,cncl appt
I'll call them and tell them to cancel it,cncl appt
This is policy-based canceled,cncl appt
Call me help I want to cancel,cncl appt
I want to cancel Waitsburg house Gardenstate,cncl appt
Can't cancel cancel,cncl appt
I want to cancel this service but still have the box delivered for self installation,cncl appt
To cancel a phone in the box,cncl appt
I would like to cancel it I got all my services back after they rebooted,cncl appt
Someone canceled your appointment and we need it,cncl appt
The problem has been resolved and I'm canceling the appointment,cncl appt
I have to cancel,cncl appt
I may need to cancel it can I have somebody work check check a line,cncl appt
I wish to cancel my technician,cncl appt
Ready to cancel an appointment,cncl appt
I want to cancel the appointment myTV coming on,cncl appt
I need to cancel that my wife cancel that appointment this morning because our Internet is working now,cncl appt
It's okay I don't need any help,cncl appt
I don't need a appointment TV is working now,cncl appt
Can you help me I need glisten in the phone and I wanna cancel,cncl appt
Thank you I have to cancel conflicting appointment,cncl appt
Okay I need I need to cancel that appointment,cncl appt
Ask me if you could cancel my appointment today,cncl appt
Like to cancel it please,cncl appt
No Peza been canceled,cncl appt
Darmody here and he fixed it I want to cancel a new one coming up,cncl appt
Hi I wanna cancel it I don't want the I don't want him to come to my house I want to cancel it,cncl appt
I don't need help thank you bye,cncl appt
Okay I need to cancel I need to cancel the appointment,cncl appt
I don't need,cncl appt
I would like to cancel appointment TV working fine now,cncl appt
I like to cancel the appointment cancel,cncl appt
Cancel appointment Internet is back on,cncl appt
I need to cancel that appointment the problems been fixed,cncl appt
I do not know what I want to cancel this that's all I want to do,cncl appt
I need to cancel my account,cncl appt
Cancel call,cncl appt
Wish to cancel I wish to cancel that appointment,cncl appt
No I just want my appointment canceled,cncl appt
I want to cancel it my Internet is working now,cncl appt
Yes I need to cancel the appointment,cncl appt
I want to cancel the appointment everything is okay now,cncl appt
I need to just cancel it please,cncl appt
I want to cancel it cancellation,cncl appt
Speak to a customer I want to cancel,cncl appt
I don't need it back,cncl appt
I need to cancel it because my cable just came back on,cncl appt
No I just wanna make sure that it's cancel,cncl appt
I don't want you to change my appointment or cancel it,cncl appt
Delete it,cncl appt
Cancel Pacoima,cncl appt
Hello I need to technicians calling to cancel it,cncl appt
I won't need the technician today okay,cncl appt
Can you can cancel to the eighteenth next week,cncl appt
Cancel no longer want service,cncl appt
I need to cancel one of the phones are working this morning,cncl appt
This system is now working cancel,cncl appt
Cancel trouble call,cncl appt
Cancel tropical,cncl appt
Cancel appointment for eleven eleven,cncl appt
Cancel phone,cncl appt
Please cancel back,cncl appt
Cancel appointment today,cncl appt
Please cancel my resolve the problem,cncl appt
Cancel date appointment,cncl appt
I wanna cancel it did Calamos came back in,cncl appt
I need a call when they are in route,cncl appt
You can cancel services been restored,cncl appt
Cancel I wanna cancel,cncl appt
Need to cancel speak to a representative,cncl appt
Cancel the appointment cancel cancel the appointment,cncl appt
I would like you to cancel that appointment for Internet chamberlain,cncl appt
You cancel my appointment,cncl appt
I want to cancel it I'm not feeling well I'm sick today,cncl appt
No I I want to cancel I don't need a technician my television was fixed last night,cncl appt
We can cancel that appointment,cncl appt
No cancel appointment,cncl appt
Must cancel appointment no electricity,cncl appt
I want to have it canceled everything is alright now cancel of cancel it,cncl appt
I would like to cancel Internet came on,cncl appt
May I cancel and I cancel the appointment,cncl appt
Cancel cancel it please,cncl appt
Cancel appointment I want to cancel my appointment,cncl appt
Supposed to be today between five and six so I called and they had a cancellation they moved it up between four and five,cncl appt
I fixed the problem myself I don't need the appointment,cncl appt
I need to cancel my TV is working fine now,cncl appt
Can't cancel,cncl appt
Yes I need to cancel an appointment,cncl appt
I'd like to cancel the appointment for tomorrow,cncl appt
I want to cancel the appointment and keep my cable,cncl appt
What's cancel it,cncl appt
You can't I need a live person,cncl appt
No cancel that appointment,cncl appt
I need to cancel the appointment martinis okay,cncl appt
No ma'am that's it thank you you do you have a confirmation number again this is been canceled,cncl appt
Call me I was a cancel,cncl appt
I need to cancel the appointment the TV came on,cncl appt
I want to cancel it is working now,cncl appt
Well I think I can cancel it my TV seems to be working okay after Zack help me,cncl appt
I wish to cancel my appointment,cncl appt
Wanna cancel the appointment,cncl appt
Technician or something I can tell you what I had canceled,cncl appt
That is been canceled that's been canceled that,cncl appt
Need to cancel appointment since she's right,cncl appt
Cancel the appointment cancel the appointment,cncl appt
I want that canceled,cncl appt
Cancel it because my TV's okay,cncl appt
I'm going to cancel,cncl appt
I don't need appointment I do not need appointment can you connect me with dispatch,cncl appt
Please cancel it my son makes the problem already,cncl appt
Man you can cancel my appointment I fixed a phone,cncl appt
We canceled this appointment with a customer service worker please,cncl appt
Just want to cancel him please just want to have them cancel coming today,cncl appt
Oh geez I want my appointment was canceled,cncl appt
Cancel support today,cncl appt
Yes please cancel department,cncl appt
I don't need appointment ma'am I don't need an appointment we got it all hooked up,cncl appt
We have our TV and working I wanted to cancel that,cncl appt
No I got Hambright work tomorrow so ingenious I don't know I don't want to be there,cncl appt
We can cancel the appointment,cncl appt
I want to cancel the order,cncl appt
Oh let me cancel and call back later,cncl appt
Would like to cancel further notice,cncl appt
I do not want it confirmed,cncl appt
I need to cancel the service call because it came back home,cncl appt
I would like to cancel I've got this TV working,cncl appt
Fucking cancel it,cncl appt
Yes cancel,cncl appt
I need to cancel that because it be back on,cncl appt
I want to cancel change the time,cncl appt
See if someone cancels,cncl appt
