input,intent
No I'm calling to make sure TV,cnfm appt
Can I call the technician,cnfm appt
No they just called here and I was wondering what they want it,cnfm appt
Thanks confirm,cnfm appt
That's what I needed to know thank you very much,cnfm appt
Dispatch,cnfm appt
Dispatch please,cnfm appt
Received a call calling back,cnfm appt
No thank you have a good day,cnfm appt
No good have dogs calling you for the getting to come this way,cnfm appt
I just want to know what time,cnfm appt
Details,cnfm appt
Change the time of the appointment,cnfm appt
That's fine just wanted to know what time thank you,cnfm appt
I was just calling to make sure he was on his way so I could be there wait for,cnfm appt
That's great I'm I'm waiting for him but you called me I didn't call you,cnfm appt
Just confirming,cnfm appt
I received a phone call saying he could not come at that hour I need to know when he's coming,cnfm appt
Just calling to see what time,cnfm appt
Just confirming the appointment,cnfm appt
I have not received the modem to be hooked up,cnfm appt
Just making sure it's confirmed,cnfm appt
Check status,cnfm appt
No that's correct thank you,cnfm appt
Yeah I find my time,cnfm appt
If there's any more problems I'll call you back thank you,cnfm appt
I thought my appointment was at eight a.m.,cnfm appt
None at the moment of anything thing should happen will call back thank you,cnfm appt
Appointment time,cnfm appt
I want to check,cnfm appt
I just want to make sure that's it,cnfm appt
I want to verify that he's coming,cnfm appt
I just wanted to verify that he is coming,cnfm appt
Check my Internet status,cnfm appt
Technical support I will call you tomorrow,cnfm appt
Okay that's fine I just want to check to make sure someone's coming thank you,cnfm appt
I'm just calling to confirm that I would like to keep it,cnfm appt
J D appointment time,cnfm appt
No I want to keep my appointment tell me what date and time,cnfm appt
Can you tell me what time my appointment is what day,cnfm appt
I'm trying to see how to connect with Wi-Fi tomorrow number,cnfm appt
Tell me what time my appointment is,cnfm appt
No I wanna know what time my appointment is,cnfm appt
No I want I want to know what time my appointment is,cnfm appt
No I want to know when my appointment is well tell me what time my appointment is what day,cnfm appt
Tell me tell me what day it was,cnfm appt
My supposed to be here today,cnfm appt
I want doctor appointment,cnfm appt
Call appointment,cnfm appt
Somebody called me from there,cnfm appt
There is no technician,cnfm appt
There's no technician,cnfm appt
No technician,cnfm appt
No just waiting for the technician to come,cnfm appt
Confirm address,cnfm appt
Confirm my address,cnfm appt
Confirm address,cnfm appt
Confirm address,cnfm appt
Confirm address,cnfm appt
Confirm address,cnfm appt
I just want to tell you they Zelle,cnfm appt
The tech didn't missed appointment,cnfm appt
What are they calling for I don't I didn't call them to come why why why do I need somebody to come,cnfm appt
I was told that I was gonna have the technician here Saturday not Sunday I've been out my cable all weekend,cnfm appt
Updating arrival time,cnfm appt
No I don't need help I'm just waiting for my appointment,cnfm appt
I want to know what Velveeta,cnfm appt
Call me,cnfm appt
No messages left his disappointment for laboratory events I would need to know right now,cnfm appt
What is the technician coming to,cnfm appt
Never mind just confirming,cnfm appt
Tell me,cnfm appt
Technician technician came here,cnfm appt
Appointment time is wrong,cnfm appt
Appointment time is wrong,cnfm appt
Supervisor I would like to have the plate,cnfm appt
Just to confirm that I'm gonna be here,cnfm appt
Just confirming thank you,cnfm appt
To see if a technician is coming tonight,cnfm appt
I wondered if the technician could come tonight,cnfm appt
Boston supposed to be today,cnfm appt
I'm calling to confirm my appointment,cnfm appt
I just want to know what time it was common,cnfm appt
No loving to do a scheduled appointment,cnfm appt
Status,cnfm appt
I just thought you might call your trying to get a tech out today instead of my appointment tomorrow and I just thought maybe you were trying to get a hold of me,cnfm appt
Confirm appointment,cnfm appt
No I want to know that I make contact with everybody showing up,cnfm appt
It's almost six p.m. can you tell me please,cnfm appt
Technician now,cnfm appt
Technician,cnfm appt
Going on four thirty and he hadn't called her InnerDyne,cnfm appt
Confirm I'm confirming it now,cnfm appt
I'm all set this is going to be here at six o'clock correct,cnfm appt
Is the technician gonna be here today at six p.m.,cnfm appt
Date please,cnfm appt
I no need for appointment I just wanted to be sure that someone would be here tomorrow thank you,cnfm appt
Thank you that's my that's it that's all I wanted to know thank you,cnfm appt
I just wanted to be sure I was still they were still coming everything's fine that's what you just read it to me,cnfm appt
Let me know more of the correct time he will arrive here,cnfm appt
Technician,cnfm appt
I just wanted to confirm it,cnfm appt
About the appointment,cnfm appt
Just confirming,cnfm appt
Where is the technician,cnfm appt
Right my technician,cnfm appt
Is the technician on the way,cnfm appt
I was just wondering the time,cnfm appt
What time is my appointment,cnfm appt
About appointment,cnfm appt
G to someone,cnfm appt
Pick to someone,cnfm appt
Just wanna confirm it,cnfm appt
Well someone called me to tell me everything was fixed but it's not fixed,cnfm appt
I had a phone call this morning about having somebody come out today,cnfm appt
It was supposed to be today,cnfm appt
Caldwell technician,cnfm appt
Just checking to see if the list still available,cnfm appt
And I think to a technician please,cnfm appt
Confirm appointment,cnfm appt
Time,cnfm appt
Directions for driver technician,cnfm appt
Confirm appointment,cnfm appt
No I don't know it right now kids back home for a long long time,cnfm appt
I like to have somebody else now,cnfm appt
