Input,INTENT
Returning a call from the technician,cnfm appt
I didn't receive a phone call,cnfm appt
Lafayette man just checking to see where is daddy's grocery Bancaire,cnfm appt
I want to know the nature of the work because I have I have a meeting coming up soon,cnfm appt
How are you supposed already been here,cnfm appt
That's what I was calling about the appointment,cnfm appt
I was just trying to see when an appointment was,cnfm appt
Hello handsome call me,cnfm appt
Where is my technician,cnfm appt
Traffic technician,cnfm appt
That's it just calling to confirm,cnfm appt
I wanted my appointment today I'm having to go so long without watching DVD,cnfm appt
Confirm the appointment,cnfm appt
Confirm appointment,cnfm appt
Driver still hasn't arrived,cnfm appt
No been waiting four hours for someone to call me back,cnfm appt
About the appointment,cnfm appt
I was just confirming,cnfm appt
You called me I didn't call you,cnfm appt
Just wanted to know what time my appointment was,cnfm appt
No technician here,cnfm appt
Tech call,cnfm appt
Okay I just want to know if they're coming,cnfm appt
Verify,cnfm appt
What time is the tech showing up,cnfm appt
How soon is the tech coming,cnfm appt
Have not heard from technician,cnfm appt
I'm that's what I needed to know,cnfm appt
No do you know when my next appointment would be,cnfm appt
This tablet technician come after two,cnfm appt
I was told that appointment was Monday the eighteenth between one and two,cnfm appt
I was told the appointment was Monday the eighteenth between one and two,cnfm appt
Do I have two papers a technician,cnfm appt
Do I have to pay for service,cnfm appt
Because I'm having trouble with spectrum getting my streaming with Roku but now I have no Internet and I need to know what's going on,cnfm appt
The link you sent me said technician variety here of my roommate's at the door she doesn't see him coming what's going on,cnfm appt
I pollinated another time,cnfm appt
I don't know I'm just going to quit call me and get the Internet fixed,cnfm appt
They called me,cnfm appt
Okay that's all I wanted to know,cnfm appt
Just appointment time,cnfm appt
I would like to verify that you will be coming,cnfm appt
Correct technician,cnfm appt
I need to confirm my address,cnfm appt
Calling to confirm address,cnfm appt
Someone,cnfm appt
Where is my technician,cnfm appt
I just got another call that said he was on his way so I just wanted to make sure I didn't miss him,cnfm appt
I want to know if I get earlier appointment,cnfm appt
Call keypad I wanted to confirm my appointment,cnfm appt
I want to confirm my appointment,cnfm appt
Technician appointment,cnfm appt
I want to confirm the appointment,cnfm appt
Confirm appointment,cnfm appt
It's confirmed thank you goodbye,cnfm appt
Confirm,cnfm appt
I need to know where my service technician is that,cnfm appt
Time appointment,cnfm appt
Technician just left,cnfm appt
That's all at what time,cnfm appt
Just confirming it,cnfm appt
To someone please,cnfm appt
I just wanted to confirm I have an appointment thank you,cnfm appt
Someone called and left a message and I lost the message and they said it was something regarding my appointment,cnfm appt
I just want to check to see if I had appointment,cnfm appt
Tech is not a right,cnfm appt
The technician is going to wrong address,cnfm appt
Confirm it,cnfm appt
No that's all just checking to see if you were coming,cnfm appt
Thank you just called me,cnfm appt
Nothing you called me,cnfm appt
Technician technician is not here and it is ten o'clock,cnfm appt
Oh name I got the TV working,cnfm appt
Confirm,cnfm appt
I was just checking to make sure the appointment time in the day,cnfm appt
Tech appointment,cnfm appt
Just making sure I have the account number,cnfm appt
We've got we've gotten two calls that show on the television and we didn't know if it was a technician or not,cnfm appt
Oh I need to know,cnfm appt
With a technician,cnfm appt
That's just checking,cnfm appt
I'm just confirming,cnfm appt
Confirming appointment,cnfm appt
No I got an appointment,cnfm appt
I just want to confirm my appointment is okay,cnfm appt
Okay maybe I was wrong it's not regarding the appointment,cnfm appt
I just wanted to verify that the appointment was from 1 to 2,cnfm appt
But that time is not is not convenient for me at this time,cnfm appt
Sorry I got a call,cnfm appt
I just wanna make sure that they're coming,cnfm appt
I just want to make sure they are common,cnfm appt
Well that's what I was expecting around two two o'clock to o'clock so I'm I'm glad it's gonna be today,cnfm appt
To discuss appointment time,cnfm appt
I don't know I have none I don't know,cnfm appt
Track technician,cnfm appt
Technician,cnfm appt
It was supposed to be eight a.m.,cnfm appt
I just got a phone call and I hung up by accident,cnfm appt
Confirm,cnfm appt
Well they had a technician here and they just took him away,cnfm appt
Check appointment,cnfm appt
Okay he just called and I didn't answer,cnfm appt
No just tell me a call when I'm here,cnfm appt
Just confirm,cnfm appt
Someone,cnfm appt
What is the appointment time,cnfm appt
Did I get a call this morning,cnfm appt
Verify I have got no call,cnfm appt
You just confirm that that's fine thank you,cnfm appt
Appointment time,cnfm appt
It's supposed to be at eight a.m.,cnfm appt
I want to confirm it,cnfm appt
Oh that's fine I just want to know what you calling about,cnfm appt
I was wondering if you could come over here sooner,cnfm appt
Technician,cnfm appt
Just checking on it,cnfm appt
That's all I need to know,cnfm appt
Please call me,cnfm appt
Will the technician be bringing a modem router,cnfm appt
Nothing I just like to know three or four p.m.,cnfm appt
What time is it,cnfm appt
I'm calling about my appointment this morning between nine and ten,cnfm appt
I want to know what's wrong with my cable,cnfm appt
Technician,cnfm appt
Confirm it,cnfm appt
Do I take the receiver stuff mailed to me Mosman or whatever you call it,cnfm appt
I thought it was supposed to be at six thirty,cnfm appt
