input,intent
Technician is not here as scheduled,cnfm appt
Technician is not here,cnfm appt
The technician is not here,cnfm appt
Yes technician is not here,cnfm appt
Check schedule,cnfm appt
Confirm,cnfm appt
I need to confirm the time again,cnfm appt
I want technician to call me,cnfm appt
Just wanted to verify thank you goodbye,cnfm appt
Just needed to verify thank you,cnfm appt
Tell me,cnfm appt
Just confirming again,cnfm appt
Oh just confirming it,cnfm appt
Verify technician,cnfm appt
Confirming appointment time,cnfm appt
Date,cnfm appt
The technician that my appointment today was changed from eleven to twelve and he's not showed up yet,cnfm appt
Hi just no that's fine I just wanted to verify a check,cnfm appt
I want to see the map for the technician coming to my house,cnfm appt
That's all I needed to know thank you,cnfm appt
My appointment date is incorrect,cnfm appt
Appointment date,cnfm appt
All I know is trying always get here then,cnfm appt
What worktime bill will be,cnfm appt
Technician is coming to an appointment,cnfm appt
Technician is coming tomorrow,cnfm appt
Will he call ahead of time,cnfm appt
When is my appointment,cnfm appt
Just to verify my appointment,cnfm appt
I wanna talk about my appointment and the implications of weather,cnfm appt
I want to be sure it's it's there's been down whether we are still having,cnfm appt
Because they have not arrived the technician has not arrived,cnfm appt
I won't be able to see the technician came he do it without seemingly,cnfm appt
Another appointment time,cnfm appt
I'm just confirming on the time today 1 to 2,cnfm appt
That's it I just want to know when,cnfm appt
My call ended with my technician trying to call back,cnfm appt
Confirm,cnfm appt
No I'm just concurrency confirming the appointment,cnfm appt
I would like to know,cnfm appt
My my appointment time,cnfm appt
Return to appointment tomorrow,cnfm appt
Do I have the answer the call for them to come over,cnfm appt
Will they come by without calling me,cnfm appt
Verify it,cnfm appt
Just wanted to confirm that's cool thank you,cnfm appt
I would like to call me please,cnfm appt
No that's fine I just want to make sure that I still had an appointment for tomorrow thank you very much bye-bye,cnfm appt
I'm calling your technician was here I nieces passing wrong with the television to call you back what I don't have a long distance call,cnfm appt
The guy has not arrive that technician has not arrived,cnfm appt
What day,cnfm appt
Hi this is wondering that time I thought it was between eleven and noon,cnfm appt
Will they call me once they will they call me once they are right,cnfm appt
Well they call me once you're here,cnfm appt
I'll call you back as he does not go,cnfm appt
I wanna know how come they haven't came yet they didn't come yesterday,cnfm appt
Just checking on when the technician will be here,cnfm appt
Confirm address for appointment today,cnfm appt
Confirm address,cnfm appt
Confirm address,cnfm appt
Verify address,cnfm appt
Pending cancellation yes give me a call,cnfm appt
Hey supposed to be today,cnfm appt
Confirm address,cnfm appt
Dispatch called me,cnfm appt
Tech department,cnfm appt
The car is my appointment was at ten thirty now you're telling me five thirty to six so you guys get commission drop,cnfm appt
Yo yo Hablo technician to speak to a mall,cnfm appt
