Input,INTENT
Hi just checking this time thank you,cnfm appt
Okay thank you I just wanna make sure that the technician has my phone number,cnfm appt
Just give my number to the technician,cnfm appt
Get details to the technician,cnfm appt
No Mam uh but I I have not seen the technician yet and I wanna know if you will be here by four,cnfm appt
Nobody called me to tell me when my appointment was,cnfm appt
Yeah they didn't call me and tell me when my appointment was they were going to try to see if they can get here today,cnfm appt
Confirm confirm status,cnfm appt
Detail,cnfm appt
What time,cnfm appt
What time,cnfm appt
About our appointment,cnfm appt
Update,cnfm appt
Technician is not here updates help people SLS,cnfm appt
I just need I just didn't I could remember what time is it but I got it now okay,cnfm appt
Oh oh dash all that's all I wanted to know,cnfm appt
The technician for my appointment never showed up,cnfm appt
The technician did not show,cnfm appt
Technician never showed,cnfm appt
No I just want to make sure if their economy,cnfm appt
Someone,cnfm appt
Talk to an associate,cnfm appt
I thought the technician was supposed to arrive between five and six p.m.,cnfm appt
I just wanna confirm that they really working,cnfm appt
No I just wanted to know if you really working well and no Jesus,cnfm appt
Dispatch,cnfm appt
About an appointment,cnfm appt
I just want to make sure that you do make that appointment,cnfm appt
Just wanted to confirm it,cnfm appt
I like to let you know that you have a order order number,cnfm appt
I like to know the order number,cnfm appt
That's it just was making sure it was going to happen,cnfm appt
Calling about information on the appointment,cnfm appt
I need to know if I need to do anything before the technician come,cnfm appt
I know,cnfm appt
Date technician is not here,cnfm appt
I calling the technical will go to home location,cnfm appt
I just wondered if you could come today instead of tomorrow,cnfm appt
Confirm,cnfm appt
Confirming,cnfm appt
I'm calling Connie back about a new appointment,cnfm appt
Appointment time,cnfm appt
Thank you seen a service agent today to fix my Internet service,cnfm appt
Technician,cnfm appt
Confirm,cnfm appt
They haven't got here yet and it's ten minutes to twelve,cnfm appt
Technician has not made,cnfm appt
Appointment time,cnfm appt
Have them call me when he arrives,cnfm appt
I just wanted to confirm it I'm blind I can't text,cnfm appt
We have no signal on our TV,cnfm appt
Tech,cnfm appt
The technician was here and he left and we still getting no signal,cnfm appt
Confirm,cnfm appt
What time tomorrow will they be here,cnfm appt
Just to verify up what I need to decide to lay down,cnfm appt
I'm calling about my appointment,cnfm appt
Dispatch,cnfm appt
I don't know you called me,cnfm appt
Confirm an appointment,cnfm appt
Do you just wanna make sure it's still going on,cnfm appt
Just checking on availability,cnfm appt
That's all I needed to know thank you,cnfm appt
He's not here yet can you find out when the appointment is the money's coming,cnfm appt
Have the guys come on the second date,cnfm appt
Thank you thank you very much have a good day,cnfm appt
Okay I'm waiting,cnfm appt
I'm waiting for a technician coming,cnfm appt
Correct,cnfm appt
Okay I'll I'll assume that it's just a confirmation call so okay thank you,cnfm appt
Telephone technician,cnfm appt
Work 9 to 10 he'll be over calling or what,cnfm appt
Oh I just couldn't answer the phone when you called so I was just calling to make sure you still coming,cnfm appt
I wonder what time he might be coming over with January second,cnfm appt
Give me a tech,cnfm appt
I was told yesterday supposed to be today,cnfm appt
Give me a tech,cnfm appt
That's all I needed to know if it was confirmed,cnfm appt
I want to confirm that,cnfm appt
No ma'am that's all I know that called me but I missed a call when Rayma phone,cnfm appt
Thank you everything is confirmed thank you,cnfm appt
I was just checking to make sure that I did confirm the appointment,cnfm appt
Confirming my appointment,cnfm appt
Yes this is suppose to bring this is correct,cnfm appt
Confirm,cnfm appt
Confirm,cnfm appt
Confirming,cnfm appt
I just wanted to confirm that,cnfm appt
Appointment time,cnfm appt
Email confirmation,cnfm appt
Confirmation,cnfm appt
Confirmation,cnfm appt
Email confirmation,cnfm appt
Send an email confirmation,cnfm appt
Wonderful wonderful that's all I needed just to confirm,cnfm appt
That time doesn't work for me,cnfm appt
Technician I would like to talk to you,cnfm appt
Um I just want to confirm I have somebody coming,cnfm appt
Appointment will be fine because I get the god damn TV working right now like I was right in the middle of the damn Greenberry game,cnfm appt
I wish I got a call this morning from somebody associated with you,cnfm appt
I just want to make sure they're gonna be here on Tuesday between two and three probably sitting here this Tuesday,cnfm appt
Make sure when he gets to my apartment to call the cell number six six two six three zero two because my landlines are not working,cnfm appt
Nothing you guys called me,cnfm appt
I wanted to confirm that,cnfm appt
I want to know why there's a red light on my modem,cnfm appt
It was supposed to be between eight and nine a.m.,cnfm appt
Hello supposed to be between eight and nine,cnfm appt
I'm calling about that appointment,cnfm appt
The appointment is why I'm calling,cnfm appt
I don't know anything about an appointment,cnfm appt
One I want to know why I'm scheduled for that appointment what it's all about,cnfm appt
Has the issue been corrected,cnfm appt
Where is technician,cnfm appt
Just wanted to confirm that one,cnfm appt
Correct address 9 to 12 dogwood drive,cnfm appt
Correct address,cnfm appt
Are they gonna come tomorrow they told me they were gonna come today and I want to know if they're coming tomorrow for an appointment,cnfm appt
Call technician,cnfm appt
Call technician,cnfm appt
Update mailing date,cnfm appt
No that's fine I just wanted to make sure,cnfm appt
Just calling to confirm,cnfm appt
Just wanna make sure that soundtrack,cnfm appt
Where is the technician,cnfm appt
Just confirming my appointment,cnfm appt
Just confirming,cnfm appt
Confirm,cnfm appt
I want to know if they are going to show up today,cnfm appt
I just want to make sure it was still he was still coming,cnfm appt
Appointment for tomorrow confirmed loan technician to contact me before,cnfm appt
What time,cnfm appt
I want to know why they have not shown up yet,cnfm appt
Need to confirm appointment,cnfm appt
Confirm,cnfm appt
I want to confirm this is happening Denny's coming,cnfm appt
I need to confirm,cnfm appt
I just wanted to know when it was gonna be here thank you,cnfm appt
I just wanted to know when was thank you,cnfm appt
I just wanted to confirm it,cnfm appt
Just confirming,cnfm appt
What time will the technician be here,cnfm appt
Call me gasoline people,cnfm appt
But they were supposed they were supposed to send somebody today,cnfm appt
I was just wondering if they're still coming,cnfm appt
I need to know if the technician is bringing a new modem,cnfm appt
I need to know if the technician is bringing a new modem,cnfm appt
I'm calling to confirm,cnfm appt
I'm just calling to confirm the appointment,cnfm appt
Confirm,cnfm appt
You have my phone number so I I think I'm okay no thank you very much,cnfm appt
I was just confirming I was just trying to find out about my account,cnfm appt
How do you know where do you know do you know where the tech is,cnfm appt
Need a technician,cnfm appt
Confirm appointment,cnfm appt
I'd like to know about the nature of my appointment,cnfm appt
I would like to confirm the appointment for January second,cnfm appt
Just I want to confirm with you,cnfm appt
Correct this is regarding,cnfm appt
Correct this is correct,cnfm appt
The technician came and he left and I haven't even talk to him yet,cnfm appt
Confirm address,cnfm appt
I want to confirm my address,cnfm appt
Is there Wednesday morning appointment open,cnfm appt
Just confirmation,cnfm appt
Technician,cnfm appt
Confirm appointment,cnfm appt
Hi I would like to know I have one,cnfm appt
That's all I wanted to know thank you,cnfm appt
I just wanted to confirm my appointment,cnfm appt
That's all I need to know,cnfm appt
Talk to an associate,cnfm appt
Technician,cnfm appt
Technician is not here yet,cnfm appt
Did check the status,cnfm appt
Just confirming that's all thank you,cnfm appt
Confirm government,cnfm appt
I was just making sure that they was coming,cnfm appt
Confirming,cnfm appt
Hi somebody called me and I am calling them back,cnfm appt
Technician tried to call,cnfm appt
Just confirm it,cnfm appt
Tell me exactly what time is supposed to be here,cnfm appt
No I just wanted to see if it was coming today because I thought it was gonna be here yesterday so I'll bring whatever phone you know,cnfm appt
Just confirming it,cnfm appt
Just waiting on the technicians,cnfm appt
Just checking to see if he was here I got a call,cnfm appt
That was fine that's what I wanted to know thank you,cnfm appt
Technician,cnfm appt
Connect me with a technician please,cnfm appt
Okay that's fine I just wanna make sure they're coming thank you,cnfm appt
Just to make sure they're still coming,cnfm appt
Need a technician,cnfm appt
I'm just confirming thank you,cnfm appt
Oh I am telling you I be home waiting for the appointment I'll be here thank you,cnfm appt
List phone call,cnfm appt
Confirm,cnfm appt
No I'm waiting waiting for their appointment,cnfm appt
The technician isn't here yet,cnfm appt
The technician isn't here yet when will he be here twenty minutes to twelve,cnfm appt
We would like to make sure he has a modem and router with him,cnfm appt
Technician,cnfm appt
I just called you forwarding schedule okay,cnfm appt
I don't guess I'm good until noon he hasn't shown up yet thank you,cnfm appt
Confirm appointment,cnfm appt
When he'll be here between eleven and twelve correct,cnfm appt
Because it looks like you called me and I was indisposed and couldn't grab my phone,cnfm appt
No ma'am I just wondered when he was gonna be here,cnfm appt
Just confirming,cnfm appt
I just needed to know when it was,cnfm appt
Confirm,cnfm appt
Confirm,cnfm appt
Well they told me 10 to 11 today now you're telling me it's 11 to 12 tomorrow,cnfm appt
It's supposed to be today,cnfm appt
Driver,cnfm appt
Just calling to confirm,cnfm appt
What time will the technician be coming,cnfm appt
I was just wondering you know he gave me he said between twelve and one,cnfm appt
What time my back is hurting really bad and I need a technician out here today,cnfm appt
Tech mission here,cnfm appt
Has the technician already been here,cnfm appt
Why is the technician coming,cnfm appt
They just called and I,cnfm appt
Confirming appointment,cnfm appt
My appointment was supposed to be today,cnfm appt
No I just I just want to verify own,cnfm appt
I just want to confirm that,cnfm appt
They were supposed to come today,cnfm appt
No it's fine just calling to confirm,cnfm appt
You guys called me a while ago so I need to replace the box,cnfm appt
I don't think so technician is coming you guys,cnfm appt
Oh that's all I want to know between two and four,cnfm appt
Technician reservation,cnfm appt
A technician,cnfm appt
Technician,cnfm appt
What time are they arriving,cnfm appt
You called me,cnfm appt
I don't know somebody called me,cnfm appt
I don't know it by heart I'm just waiting on the technicians to do all this is what I want to technician,cnfm appt
Your technician that is scheduled is going in the wrong direction,cnfm appt
The technician is going in the wrong direction,cnfm appt
The technician is way off course ministry route to this house,cnfm appt
Where is technician,cnfm appt
I got a phone call so I was just checking account for and this is what,cnfm appt
Correct,cnfm appt
Choose service technician service,cnfm appt
Confirm confirm today,cnfm appt
Confirm the appointment,cnfm appt
I want to keep the appointment,cnfm appt
I want to keep the appointment,cnfm appt
I just wanted to confirm it okay thank you,cnfm appt
No I'm ready for checking this is a call,cnfm appt
Um that's what I needed to know,cnfm appt
I'm confirming the appointment yes,cnfm appt
I'm confirming,cnfm appt
I just want to confirm that I will be here to,cnfm appt
Tried to call me I want to know if they're coming early,cnfm appt
Confirmation,cnfm appt
I thought the appointment was for nine o'clock not ten,cnfm appt
Just wanted to double check,cnfm appt
Oh check check to see if,cnfm appt
Call me in thank you,cnfm appt
I'm confirming,cnfm appt
Wanted to verify,cnfm appt
Like to confirm,cnfm appt
You're not supposed to come in till later,cnfm appt
No good have a blessed new year,cnfm appt
Oh just give me the time again,cnfm appt
I just wanna know when you're neither,cnfm appt
I want to confirm my appointment,cnfm appt
I wanted to confirm my appointment,cnfm appt
Just want to confirm he was coming,cnfm appt
Oh I don't know what my security code is I didn't know I had one,cnfm appt
Confirm,cnfm appt
Let me a call scheduler,cnfm appt
I need to confirm the appointment,cnfm appt
Just checking on my appointment,cnfm appt
Wanted to confirm the appointment,cnfm appt
I want to confirm the appointment,cnfm appt
I just wanna confirm appointment,cnfm appt
Just want to confirm the appointment,cnfm appt
Confirmation,cnfm appt
I I have two changes a good time,cnfm appt
You already did nineteen minutes technician to be here thank you,cnfm appt
I'd like to have getting a new installation for my husband he's dying I'd like to get better appointment on Tuesday,cnfm appt
Add details to technician install,cnfm appt
Nothing just calling to confirm make sure my information hasn't changed,cnfm appt
Need to make sure the tech knows what needs to be installed,cnfm appt
No thank you very much have a good New Year's,cnfm appt
They have not shown up yet,cnfm appt
Call me,cnfm appt
Have technician call me,cnfm appt
Yes technician call me,cnfm appt
I'm calling about my appointment,cnfm appt
I wanna know when the technician is,cnfm appt
Confirmation text,cnfm appt
Scheduled appointment,cnfm appt
I'd like to know where he is right now,cnfm appt
Confirm it,cnfm appt
I was calling about changing the time,cnfm appt
I need to know why my jeep is not working,cnfm appt
When is the technician getting here,cnfm appt
No technician,cnfm appt
The technician has already came but my system is not working,cnfm appt
