input,intent
Just making sure,cnfm appt
Actually I am waiting for my Barnett bank Michigan,cnfm appt
Check on driver,cnfm appt
Wondering what they got me markdown to receive,cnfm appt
I want to know what he's bringing am I getting TV or cable Internet,cnfm appt
I just I received a call and I need to find out if there was a technician calling to see if I was home and I am,cnfm appt
Appointment is supposed to be between eleven and twelve,cnfm appt
Want to confirm,cnfm appt
Technician on the way,cnfm appt
Hey baby confirm that was yeah man that was suppose to get moongate ten thirty this morning,cnfm appt
Just confirming he will be here between twelve and one,cnfm appt
I I wanna turn on my TV,cnfm appt
Okay what I wanna know is there,cnfm appt
What time is it,cnfm appt
I was letting you know that I'll be home later I'll be home all day today something,cnfm appt
The guy was here and I wanna know why he left,cnfm appt
Confirm,cnfm appt
Confirm,cnfm appt
Just want to confirm,cnfm appt
That's all I wanted to know is what time did be here thank you,cnfm appt
What time are they supposed to be there,cnfm appt
Will the technician call before arrival,cnfm appt
Will technician call before arrival,cnfm appt
Confirming appointment,cnfm appt
To see where the technicians location is that,cnfm appt
I just want to confirm it,cnfm appt
We were supposed to have an appointment today between ten and eleven,cnfm appt
No I thought spectrum had called me but that's okay alright thank you,cnfm appt
No just confirming appointment,cnfm appt
So I just got me they got me on call me and I'm just calling back,cnfm appt
I thought the technician was here but when I open the door there was nobody there,cnfm appt
To confirm,cnfm appt
You just called me,cnfm appt
I'm just confirming,cnfm appt
I want to confirm my appointment,cnfm appt
I want to know once everything is great appointment,cnfm appt
You called me,cnfm appt
I won't be there in time,cnfm appt
You called me,cnfm appt
I just want to confirm,cnfm appt
Just to make sure I'm confirmed,cnfm appt
I'm just calling to confirm that appointment,cnfm appt
Oh that's just checking on the time,cnfm appt
Call me,cnfm appt
Tell me,cnfm appt
No we got cut off and I didn't know if you went through but apparently the appointment is all set,cnfm appt
No I just want to keep an appointment,cnfm appt
Technician is going to the wrong address,cnfm appt
I'm calling to confirm someone is back,cnfm appt
I just wanted to confirm thank you,cnfm appt
Yes technician please,cnfm appt
I need to get the technician some details,cnfm appt
I need to get some technician,cnfm appt
I'm returning a call about my appointment changing to today,cnfm appt
Thank you very much have a happy happy holiday,cnfm appt
Update,cnfm appt
No thank you have a good day,cnfm appt
I just need to get the technician the new phone number,cnfm appt
Hey where's the technician,cnfm appt
Their appointment time department,cnfm appt
I'm responding to the call back,cnfm appt
I was just making sure they were still coming,cnfm appt
Technician is going the wrong way,cnfm appt
Well I wanted to know why,cnfm appt
The appointment was supposed to be yesterday,cnfm appt
Tech was here but missed my place not here,cnfm appt
Someone called this morning,cnfm appt
Order got mixed up my appointments and I have another appointment at same time,cnfm appt
You just verifiable I'm calling about my service visit,cnfm appt
You can help that I confirmed it,cnfm appt
No I'll be here for the appointment,cnfm appt
I thought maybe you guys called my home phone this morning I don't know,cnfm appt
Confirm appointment,cnfm appt
I want to know if I can get it sooner,cnfm appt
What time tomorrow,cnfm appt
No they were suppose to call me between nine and ten thirty to come out today,cnfm appt
I won't know when the technician is going to get here,cnfm appt
Nothing just checking thank you,cnfm appt
Yes I need to know if I had to be there while they are there,cnfm appt
