input,intent
I want to cancel the appointment my system is working,cncl appt
I did not know that we needed to be here,cncl appt
Anything for today cancellation for today,cncl appt
Cancel my dick Cummings,cncl appt
I need to cancel the appointment I don't need them anymore,cncl appt
I would like to cancel it because I have no electrician service here,cncl appt
Cancel technician I think the problem,cncl appt
Cancel Zelle,cncl appt
I'd like to cancel it because the TV is all set,cncl appt
I want to cancel it my TV is working,cncl appt
No I'd like to I'd like to cancel it,cncl appt
I'm about to cancel an appointment,cncl appt
I don't need help with my appointment I need to talk to a technician,cncl appt
I want to cancel that for today hello,cncl appt
I need I need to cancel it my TV is working,cncl appt
That appointment has to be canceled I did not ask for an appointment for tomorrow,cncl appt
I don't want a different,cncl appt
I need it canceled because my TV came right girls gone up for TV carmine,cncl appt
My cable is working and I'm canceling the appointment,cncl appt
Thank you Kevin cancel the appointment,cncl appt
I don't need to talk to nobody,cncl appt
Cancel an appointment I don't need it,cncl appt
No I would like to cancel back on my canceled appointment,cncl appt
I need to cancel it due to the flu,cncl appt
I need to cancel it working,cncl appt
Cancel the appointment replace the router and the system appears to be working,cncl appt
I wanted to cancel that it it's working all right right now,cncl appt
I like to cancel it I don't watch TV working and I thought a representative,cncl appt
We want to cancel it,cncl appt
I want to cancel my appointment my television came on again,cncl appt
I want to cancel the Internet account,cncl appt
I don't know it and I don't need to be connected all you can cancel the appointment I'm all set,cncl appt
Yes I want to cancel the appointment I correct my problem,cncl appt
I'd like to cancel it we get the phone is working now I found the trouble I'd like to cancel the appointment,cncl appt
I don't need it anymore it got it working,cncl appt
I want to cancel it called you all I extended my my TV is no longer pixeled cancel,cncl appt
I don't need the appointment,cncl appt
I am good cancel appointment,cncl appt
I just need it canceled,cncl appt
We don't need the appointment now we found the problem,cncl appt
Please cancel it my TV is back on and running fine,cncl appt
I need to cancel I need to cancel ncdot six,cncl appt
I no longer need the appointment because I have my own modem connection,cncl appt
I need that canceled my my power is back on,cncl appt
I wanna cancel I wanna cancel debit,cncl appt
Cancel I got my wife,cncl appt
Not doing I just wanna I don't want,cncl appt
Cable repair E what canceling it,cncl appt
I need to cancel it everything is okay and I'm sick I'm throwing up don't let them come to my house please,cncl appt
Cancel TVs working,cncl appt
Just cancel it it's working again,cncl appt
Cancel that ma'am please don't cancel,cncl appt
Do not need another time,cncl appt
I agree to cancel,cncl appt
I would like to cancel that appointment for Monday,cncl appt
I want to cancel because my TV come back on,cncl appt
I need to cancel because I can't get on the crawlspace,cncl appt
I don't need any help with the shows that,cncl appt
I like to cancel the card with T G I get Galaxy Dixie,cncl appt
I would like to cancel Internet came back,cncl appt
G to cancel,cncl appt
I need to cancel my appointment about TV,cncl appt
I don't need help with the appointment I have a question about demand,cncl appt
Calling to cancel it,cncl appt
Cancel TV,cncl appt
It's close yes describes it sears Birkenau delete it,cncl appt
Cancel the appointment the TV is not working,cncl appt
Cancel the appointment technician,cncl appt
Check cancellation,cncl appt
No morning cancel,cncl appt
Cancel I just want to keep the same appointment,cncl appt
No I want to cancel I want to cancel that,cncl appt
I need to cancel it yet the Internet went on and on already,cncl appt
She want to cancel my appointment,cncl appt
I want to cancel it my Internet came on,cncl appt
I don't want tomorrow,cncl appt
I would like I would like to cancel that appointment I don't need it,cncl appt
No I don't want my appointment canceled,cncl appt
Well I got a message that it had been canceled,cncl appt
You can't cancel my appointment my daughter got me a TV,cncl appt
I would like to cancel I'd like to cancel,cncl appt
I don't I want to cancel I want to cancel my TV is working fine my Internet is working fine,cncl appt
Can you cancel the appointment for today between ten and twelve,cncl appt
We found out that the Internet is down so we have to cancel it today,cncl appt
No I want to cancel I want to cancel my appointment for today because I'm sick,cncl appt
I need to cancel appointment today,cncl appt
My phone is working maybe I should cancel it,cncl appt
I want to cancel but I need to speak with someone first,cncl appt
I want to cancel I want to cancel the appointment Mye Sound came back,cncl appt
Cancel it altogether,cncl appt
Everything's okay with my cable I scoured they'll be here today I cancel it,cncl appt
Don't want the service,cncl appt
Um I would like to cancel the appointment,cncl appt
Hey want to cancel my service 9 and 1,cncl appt
Just cancel I will be fine,cncl appt
No I am asking you to cancel wire,cncl appt
I need to cancel it since my Internet is on,cncl appt
Hello I was saying this morning you can cancel it but he found it with the cable box,cncl appt
That could be canceled because it won't be here at that time,cncl appt
No I just wanted to cancel it,cncl appt
Hello I need to cancel,cncl appt
I do not need the department at this time,cncl appt
Cancel my subscription to spectrum,cncl appt
I don't need him to come anymore,cncl appt
Got a text says the appointment is canceled but I didn't cancel,cncl appt
I want to cancel it was canceled,cncl appt
My service is back on I just turned the TV on and it's on so I had to cancel,cncl appt
I received a text that my appointment has been canceled,cncl appt
Well I want to cancel because my neighbor went down and picked up,cncl appt
I want to cancel the appointment but I wanna talk to a live person,cncl appt
I called to cancel the appointment,cncl appt
Like to cancel back cancel that appointment,cncl appt
I need to cancel my appointment my service is been restored,cncl appt
No just make sure they do it is canceled Winkleman bean,cncl appt
I want to cancel Corollas 1 and 2,cncl appt
Need to cancel what TV is working,cncl appt
I don't have a security code and I don't want one,cncl appt
I want to cancel we got on the TV,cncl appt
Cancellation cancel services,cncl appt
Need to cancel problem result,cncl appt
Cancel the older,cncl appt
Why is my appointment being canceled,cncl appt
I want to cancel my love sushi,cncl appt
I don't need him at work,cncl appt
I need to cancel cancel the appointment,cncl appt
I got I got a message center that had been canceled but I didn't cancel it,cncl appt
Cancel I won't be there,cncl appt
Cancel cancel it's fixed,cncl appt
I have to cancel I'm still in the hospital,cncl appt
I want to cancel it because the TV is working,cncl appt
My Cheezies working I don't need a technician,cncl appt
I don't need to technician to come out,cncl appt
I want to cancel it because this problem resolved itself,cncl appt
You don't need to,cncl appt
I need to cancel my Internet all of a sudden came on,cncl appt
I need him to call me,cncl appt
I don't need him to come I called and told told the person that it was alright,cncl appt
No don't cancel that,cncl appt
Because I felt a problem and I don't need an appointment,cncl appt
I need you to cancel appointment,cncl appt
