Input,INTENT
Just want to confirm my appointment,cnfm appt
Wonders appointment,cnfm appt
Questions about service plan,cnfm appt
What's back to time one hour,cnfm appt
Technician,cnfm appt
Technician information,cnfm appt
You can't I just wanted to verify,cnfm appt
Nothing just making sure,cnfm appt
Checking on status,cnfm appt
Appointment time,cnfm appt
Confirm,cnfm appt
Oh just returning a phone call on the home distance call,cnfm appt
I just wanted to verify that I guess you are verifying it right,cnfm appt
Yes the technician is available anytime anytime tomorrow will be here,cnfm appt
Confirm an appointment,cnfm appt
I was just wondering when he was coming because I didn't get to my phone and I can tell if he's gonna be here within forty minute that's fine,cnfm appt
Confirm appointment please,cnfm appt
I like to confirm thank you,cnfm appt
I don't come in here,cnfm appt
I'm here waiting,cnfm appt
Well on the phone I was told that it was supposed to be today not tomorrow,cnfm appt
Just checking to see if this telephone,cnfm appt
No I just want to confirm,cnfm appt
Confirm,cnfm appt
I know,cnfm appt
Verify time a little better,cnfm appt
You need to give some special instructions to the technician,cnfm appt
No I just got an appointment between two and two thirty some dollars probably three o'clock let you tell me,cnfm appt
Time,cnfm appt
Jessica just confirming,cnfm appt
Confirm appointment,cnfm appt
Correct address,cnfm appt
Time protection,cnfm appt
Well you haven't talk to me you haven't helped me with anything I want to,cnfm appt
Need to let him know I'm home we have my husband's number not mine,cnfm appt
I have information that important for the technician,cnfm appt
Just checking the time,cnfm appt
Just checking the time,cnfm appt
Time,cnfm appt
Let tech know that I am at home now,cnfm appt
I'm just calling to confirm,cnfm appt
That's correct,cnfm appt
I just wanted to double check the time,cnfm appt
I just want to make sure that this mission will come,cnfm appt
Where is my technician,cnfm appt
Track a technician,cnfm appt
Check technician,cnfm appt
Okay I want to make sure that the appointment was set for three between three and four,cnfm appt
Confirm my appointment,cnfm appt
Extreme this status vacation,cnfm appt
That's good I just wanna make sure he still coming,cnfm appt
Wondering if I get back to three o'clock,cnfm appt
I'll call back at nine two nine two nine two nine two five zero four seven six five,cnfm appt
Verify,cnfm appt
Tell me again what it was when it is,cnfm appt
Choose a date,cnfm appt
I made the appointment don't worry about it leave it alone,cnfm appt
That's okay do I have any appointments,cnfm appt
About the appointment,cnfm appt
What time they're coming,cnfm appt
Confirm,cnfm appt
I was just calling to confirm,cnfm appt
Confirm,cnfm appt
What time they're coming,cnfm appt
Yes technician,cnfm appt
My appointment time and date,cnfm appt
I was just wanted to check to see what time they'll be here,cnfm appt
I'm calling about something else,cnfm appt
Hey hasn't gotten here that some I was calling to see if there was a problem,cnfm appt
Technician not here,cnfm appt
Technician is not here,cnfm appt
Verify,cnfm appt
Hi just wanted to confirm a time,cnfm appt
No I just wanted to confirm,cnfm appt
You still scheduled for the day have you arrived yet,cnfm appt
I just want to know the date and time,cnfm appt
About the appointment,cnfm appt
Confirming call back number,cnfm appt
That is not the appointment I have,cnfm appt
It is it's a technician,cnfm appt
No it's okay I wanna stay with his appointment okay,cnfm appt
It's okay I'm calling you to confirm,cnfm appt
Well it's okay I wait for you 11 to 12,cnfm appt
I'd like the confirmation number,cnfm appt
My appointment time make sure it's the right time,cnfm appt
Confirm appointment,cnfm appt
About my service call,cnfm appt
Top when I tell you to shut up yeah yeah,cnfm appt
Confirm appointment,cnfm appt
Confirm,cnfm appt
Confirm,cnfm appt
I'll be here waiting everything is good,cnfm appt
Confirming,cnfm appt
