input,intent
Update appointment time,cnfm appt
Appointment time,cnfm appt
Date time,cnfm appt
I'm trying to find the status of my technician,cnfm appt
Status of technician,cnfm appt
I want to know if they're going to,cnfm appt
I was supposed to confirm,cnfm appt
I guess nothing I wait till two o'clock thank you for your help,cnfm appt
Well the lady on the phone from spectrum told me that appointment was from 1 to 2,cnfm appt
About telling you just answer your call to me,cnfm appt
Just wanted to verify that you are coming Saturday the twenty ninth,cnfm appt
Michelle technician,cnfm appt
Technician to call us,cnfm appt
Confirming appointment,cnfm appt
Tech mission is lost,cnfm appt
I'm trying to confirm my appointment,cnfm appt
You already did by telling me the time he's gonna be here,cnfm appt
I just wanted to know the time that they're gonna be here thank you,cnfm appt
Confirm the appointment,cnfm appt
What's the day,cnfm appt
Call me please when here,cnfm appt
That's it just wanted to call and confirm my appointment,cnfm appt
Technician technical support,cnfm appt
I just want to make sure they're coming,cnfm appt
Just waiting for them to come I just wanna make sure they're coming,cnfm appt
I just wanted to confirm the appointment,cnfm appt
Confirm,cnfm appt
I just want to be sure it was still appointment thank you,cnfm appt
Oh I would just calling to confirm it,cnfm appt
I was just wondering if they give me a call,cnfm appt
Details,cnfm appt
I just wanted to tell you the garage door will be open and they couldn't come right in the door,cnfm appt
I just wanted to let you know the garage door will be open just come in the door,cnfm appt
Has been shown up,cnfm appt
Thank you very much just call to confirm thank you very much that's it thank you,cnfm appt
Please want to verify my appointment,cnfm appt
Give me a call menu,cnfm appt
I'm calling to check on my account,cnfm appt
I'm asking you to give me your accounting department of appointment has already been sent,cnfm appt
What time the technician will be here,cnfm appt
Well no that's what I wanted to know if they were gonna come today I'm not because they said it were gonna come today they don't be last night,cnfm appt
What time is the appointment,cnfm appt
Mountain mike technician is here,cnfm appt
I received a call,cnfm appt
Verifying appointment,cnfm appt
Verify appointment,cnfm appt
Please confirm,cnfm appt
I want to keep my apartment that's why I'm calling I'm taping no apartment,cnfm appt
Yes I would like to get the technician code for the elevator,cnfm appt
No that's all I wanted to know,cnfm appt
Appointment time is different than what was that yesterday,cnfm appt
I received a phone call to call back in,cnfm appt
I'm returning a call about an appointment,cnfm appt
I didn't give them back up phone number to call me,cnfm appt
I want to make sure it's the correct address,cnfm appt
10 and 2 I want to know that,cnfm appt
Just confirming the appointment on twelve twenty nine,cnfm appt
Just wanted to confirm,cnfm appt
No I just wanted to confirm it,cnfm appt
Track checks picture people I don't know track a device I need to know what I get,cnfm appt
Looking to confirm,cnfm appt
I wanna know when the checks name,cnfm appt
I want to know the tax name,cnfm appt
Let the technician know I'm waiting for him,cnfm appt
Let the technician know that I'm waiting for him,cnfm appt
You keep calling me,cnfm appt
I need a technician at two thirty I won't thank you,cnfm appt
I need for him the technician to be here at two thirty,cnfm appt
It's fine I'll be here waiting for them,cnfm appt
You haven't helped me with anything yet,cnfm appt
Appointment time,cnfm appt
Not correct time,cnfm appt
No I just would like to have it sooner,cnfm appt
Just want to confirm the appointment,cnfm appt
We have is just a late appointment,cnfm appt
Technician technician,cnfm appt
Technician technician,cnfm appt
Hello technician department,cnfm appt
Technician department,cnfm appt
No I was just calling to confirm the appointment,cnfm appt
Confirming appointment,cnfm appt
I want to confirm my appointment,cnfm appt
Oh I don't I'm not sure if I know,cnfm appt
Are you called me I just wanted to know what calls about,cnfm appt
You told me I know what 10 and 3 what time are you coming 3 to 8 up all great thank you,cnfm appt
Well call me back they just call me I was wondering why they called,cnfm appt
Confirm,cnfm appt
Just confirming it,cnfm appt
No help just checking,cnfm appt
Well I just thought you automated me to confirm that,cnfm appt
Bank called me about the appointment,cnfm appt
I don't know they called the they called me,cnfm appt
I've a better time appointment earlier faster,cnfm appt
About a previous call for Sean for a technician to come here,cnfm appt
I want to check to make sure he's coming,cnfm appt
Not known then I don't know what tomorrow,cnfm appt
Thank you I just want to make sure able,cnfm appt
I just wanted to let you know that I'm waiting for a,cnfm appt
Just double checking,cnfm appt
No thank you for the confirmation,cnfm appt
About my service plan,cnfm appt
I didn't come back in the week,cnfm appt
Well I have two pay for their appointment,cnfm appt
I'm just calling I just called to confirm Adesso,cnfm appt
The technician,cnfm appt
I don't know that my Internet is fixed for good I need to speak to someone to talk to them about the appointment,cnfm appt
Just wanted to confirm it,cnfm appt
Oh okay oh okay when is the time for my appointment,cnfm appt
Appointment time with set-up for seven to eight p.m.,cnfm appt
I'm just confirming that is good,cnfm appt
I just wanna make sure is going to come between ten and eleven this is correct,cnfm appt
Not getting someone right now I'm handicap okay,cnfm appt
I believe you know that already,cnfm appt
Okay I joke with technician,cnfm appt
Tell me tell me all about it,cnfm appt
Account just tell me what it is,cnfm appt
You could tell me what this is all about,cnfm appt
I was just verifying thank you,cnfm appt
That's correct,cnfm appt
Change time for appointment,cnfm appt
Just wanna make sure it was still in place,cnfm appt
I like to know my name please ma'am,cnfm appt
When is the technician going to be here,cnfm appt
Appointment was supposed to be Thursday between three and four,cnfm appt
You're fine I just wanted to let you know were here,cnfm appt
It's fine it's confirmed thank you,cnfm appt
I just wanted you know will be here waiting for,cnfm appt
No I don't come in tomorrow or not,cnfm appt
Technician went to the wrong address,cnfm appt
The technician went to the wrong address,cnfm appt
Just needed to confirm,cnfm appt
Tech MADtv,cnfm appt
I just want to confirm the appointment verify the appointment,cnfm appt
I want to confirm it,cnfm appt
Check on service,cnfm appt
Confirm,cnfm appt
Yes I want to confirm my appointment,cnfm appt
No Olmsted Falls just checking to make sure he was still coming,cnfm appt
Technician please,cnfm appt
That's what I wanted to know thank you very much,cnfm appt
I received a phone call from you probably about that and I was returning the call,cnfm appt
I received a call 1 to 6,cnfm appt
The technician on the way,cnfm appt
Thank you for calling because somebody called here,cnfm appt
This is the technician arrived but he didn't,cnfm appt
Confirm confirming appointment,cnfm appt
Thank you just checking on the time he's coming,cnfm appt
The technician was here and lapsed,cnfm appt
Technician was here last,cnfm appt
Thanks that's all I want to know,cnfm appt
Yes tech Internet service,cnfm appt
I want to know if they're coming tonight,cnfm appt
I want to know if they're coming tonight,cnfm appt
I was wondering where,cnfm appt
I need a technician here now,cnfm appt
I need to have him here quicker than two o'clock,cnfm appt
See if the technician is on time,cnfm appt
What time is it there,cnfm appt
What time is it,cnfm appt
I just want to confirm,cnfm appt
The technician text me please,cnfm appt
You called me,cnfm appt
Verify appointment,cnfm appt
Just confirming appointment,cnfm appt
Oh okay that's all I want to check it check on thank you,cnfm appt
I want to make sure that the technician did not leave,cnfm appt
Someone tried to call me regarding the appointment,cnfm appt
Well I just wanted to know I was told he would be here within ten minutes and that was about twenty minutes ago so I just wondered,cnfm appt
Technician,cnfm appt
To see technicians coming,cnfm appt
I'm checking to see if the technician is on his way,cnfm appt
No that is fine 3 to 5 confirm,cnfm appt
It's five p.m. and the technician is here,cnfm appt
They haven't got here yet this means you know somebody's coming,cnfm appt
Could you send me a confirming tech,cnfm appt
Well I just want to know what is he still coming,cnfm appt
Scheduled appointment was escalated,cnfm appt
Never mind I'll call back thank you,cnfm appt
Appointment time for tomorrow technician,cnfm appt
I wanted to make sure that the technician is coming because he was supposed to be here between five,cnfm appt
Instructions for technician parking,cnfm appt
Instructions for the tech,cnfm appt
To verify,cnfm appt
Confirm,cnfm appt
