Input,INTENT
I have no electricity check,cnfm appt
Connect me with a technician,cnfm appt
Hello connect me to the technician,cnfm appt
Confirm,cnfm appt
I need to know is that include marchese service,cnfm appt
What time will they be here,cnfm appt
I want to know if there's any cancellations renew a movie up my appointments,cnfm appt
Time change,cnfm appt
About appointment,cnfm appt
List call,cnfm appt
Confirming an appointment that has been escalated,cnfm appt
Details,cnfm appt
Confirmed,cnfm appt
Just checking to make sure,cnfm appt
Thought they were supposed to be here today,cnfm appt
Confirm appointment,cnfm appt
I just got a call,cnfm appt
I don't know I'm calling you back,cnfm appt
Well that's all you can do is just verify it tell me that it's good that they will be here,cnfm appt
Well I just wanted to verify that to make sure that it's the right one okay,cnfm appt
Appointment time,cnfm appt
I want to confirm my appointment,cnfm appt
You called me,cnfm appt
Call technician,cnfm appt
Just looking forward to seeing the technician,cnfm appt
Do I need to confirm the appointment,cnfm appt
Where's my technician,cnfm appt
Just confirm it,cnfm appt
About the appointment,cnfm appt
I want to know if I have to be here,cnfm appt
About my service,cnfm appt
Janet is the technician on the way,cnfm appt
I just want to know the time,cnfm appt
Appointment time,cnfm appt
That's fine just confirm,cnfm appt
No thank you have a good day,cnfm appt
I'm looking for my appointment for 10 and 11,cnfm appt
You know they wake common because I didn't 4 and 8 called a few minutes ago,cnfm appt
Appointment time,cnfm appt
About this appointment,cnfm appt
Waiting on a technician to get here,cnfm appt
Yep my appointment time that you have sent is okay no problem,cnfm appt
Somebody called me,cnfm appt
Somebody call me,cnfm appt
Somebody call me,cnfm appt
Tell me about it,cnfm appt
Confirm,cnfm appt
No I'm good now thank you very much I just need to know when the,cnfm appt
Incorrect appointment date,cnfm appt
Okay I'll take that appointment yes,cnfm appt
I've got a picture now I called before about not having a picture,cnfm appt
I was just confirming appointment,cnfm appt
Am I going to need to check the phone is presently working,cnfm appt
Confirming appointment,cnfm appt
I don't know it I don't know my security code,cnfm appt
Have one,cnfm appt
Will the technician call before they come,cnfm appt
Just confirming,cnfm appt
Remind me of appointment time,cnfm appt
Verify,cnfm appt
Just to make sure,cnfm appt
Appointment confirmation,cnfm appt
I wanted to know if you could check it says now on my TV to,cnfm appt
Discover confirm appointment,cnfm appt
I'm waiting for him,cnfm appt
Where is the cable guy,cnfm appt
What is the cable guy is eight o'clock,cnfm appt
Change time of appointment,cnfm appt
Louis is a technician,cnfm appt
When is the appointment,cnfm appt
No just confirm,cnfm appt
No that's good I just wanted to know thank you,cnfm appt
Confirm,cnfm appt
Because well I know I go Internet keeps buffering I got a new modem hooked it up and I just keep getting buffering,cnfm appt
What time is he coming tomorrow,cnfm appt
What technicians do my appointment,cnfm appt
What technicians do,cnfm appt
Yes I want to know what is going to do my appointments,cnfm appt
Waiting for technician,cnfm appt
Well it was scheduled to come at six six five and he hasn't come everybody is gonna come at seven is that right,cnfm appt
That's all I need to know if he's coming thank you,cnfm appt
Where is the technician,cnfm appt
That's all I need to know,cnfm appt
I wonder if they could make it Saturday the twenty third instead,cnfm appt
Just checking to make sure they will be here within the next fifteen minutes,cnfm appt
Want to see when that technician will arrive four o'clock,cnfm appt
Can you let me know,cnfm appt
That's it I just need to know what time thank you,cnfm appt
