Input,INTENT
About the appointment,cnfm appt
Just checking on regarding the status of the appointment time and,cnfm appt
About the appointment,cnfm appt
Confirms adjusted time of the service call,cnfm appt
I was asked to confirm that time,cnfm appt
Call I just wanted to see it was it still on schedule thank you,cnfm appt
I want to know if you were still coming,cnfm appt
I am returning a call from a technician,cnfm appt
Please change my email confirmation,cnfm appt
It's two hours of the tech technician is on his way and I'm getting no estimates he will be there at the given time,cnfm appt
Just checking to see when it was,cnfm appt
Dispatch service,cnfm appt
Well I think they tried to call me,cnfm appt
I'm waiting for the technician,cnfm appt
I want to know what time the technician will arrive I need to talk to the customer service,cnfm appt
I just want to listen to me and supposed to be I love you said it's me and I would love to Zelle by the technician is not here,cnfm appt
What time is the technician arriving,cnfm appt
Tell me,cnfm appt
That's it just wanted to confirm that,cnfm appt
Confirm the appointment please,cnfm appt
Confirm timing,cnfm appt
Technician,cnfm appt
I have been changed till Monday,cnfm appt
I need to know call me in forty minutes today,cnfm appt
That's okay I just want to ensure that was called,cnfm appt
Just confirming,cnfm appt
I want to keep my appointment,cnfm appt
Call tech and find out where he is,cnfm appt
Connect to text technician,cnfm appt
Connect technician,cnfm appt
About the appointment,cnfm appt
Confirm,cnfm appt
Just confirm,cnfm appt
Technician,cnfm appt
Tech did not show up,cnfm appt
Confirm,cnfm appt
Confirm appointment,cnfm appt
I don't know I don't know no security code I don't know at all,cnfm appt
No Caulder technician,cnfm appt
I want to confirm,cnfm appt
I just want I just want to confirm the appointment that's all,cnfm appt
Nothing I'm waiting for him,cnfm appt
Oh I just wanted to confirm that technician is coming,cnfm appt
About an appointment,cnfm appt
Nothing I was just confirming it that's all,cnfm appt
Check where technician is,cnfm appt
Just confirming,cnfm appt
I need to know what time,cnfm appt
Appointment time,cnfm appt
Technician is not here yet,cnfm appt
Confirm,cnfm appt
I just want to make sure I had just called anything I will be right here,cnfm appt
I want to know if I could get a sooner appointment if there's any cancellations,cnfm appt
Hello I just wanted to make sure that that was gonna happen,cnfm appt
I want to know if I can get up appointments for any cancellations,cnfm appt
You did wonderful thank you I'm waiting on a technician,cnfm appt
I think this serviceman called my phone and I didn't get certain time,cnfm appt
I missed the appointment,cnfm appt
I missed the technician for my appointment,cnfm appt
I missed the appointment,cnfm appt
I missed the technician,cnfm appt
Someone just called but I mean they called and hung up,cnfm appt
Just confirming,cnfm appt
Ford technician,cnfm appt
Hi Ferrisburgh call me,cnfm appt
Well I got a call from you folks this morning and I tried it,cnfm appt
Incorrect appointment times,cnfm appt
That's all I needed to know was coming,cnfm appt
Dispatch,cnfm appt
I got a verbal complaint I wanna make,cnfm appt
I would like to tell me,cnfm appt
I want to know what,cnfm appt
Call me at eight fifteen,cnfm appt
Technician,cnfm appt
I wanna know what my appointment is for,cnfm appt
Can you tell me what it's for,cnfm appt
Tech is not here,cnfm appt
Just checking make sure you're coming,cnfm appt
No I just wanted to make sure the time thank you,cnfm appt
Where is the tech,cnfm appt
Tech is not here yet,cnfm appt
No I didn't want to change Antinori y'all called this morning and I tried calling you back,cnfm appt
You just called and I couldn't get to the phone in time,cnfm appt
Where is my technician,cnfm appt
9 to 10 I just call me,cnfm appt
Just confirm it,cnfm appt
If they asked me to call back,cnfm appt
Just wanted to verify the time,cnfm appt
Time change time,cnfm appt
I'm okay I just wanted to confirm it,cnfm appt
Information call for the appointment,cnfm appt
The date details of the call,cnfm appt
I like calculator appointment,cnfm appt
