Input,INTENT
Yeah my Wi-Fi has stopped working,cnfm appt
No no I'm just waiting on him,cnfm appt
I'm waiting no-name,cnfm appt
Dispatch,cnfm appt
The technician is still not here,cnfm appt
No that's all I want to do a counseling appointment,cnfm appt
That's all I needed to know honey,cnfm appt
Confirming,cnfm appt
Someone called my phone,cnfm appt
You can't that's good that's all I want to know,cnfm appt
Really you can I was just calling to wonder why they gave me or they called me a while ago and I wanna know,cnfm appt
Yes James just checking in planet jail while I'm gone,cnfm appt
I don't know that you can just tell me when they're coming,cnfm appt
Mike technician wants,cnfm appt
Yeah I know the MADtv just came back on,cnfm appt
I want to confirm,cnfm appt
I just want to know why he wasn't supposed to be here at ten,cnfm appt
I don't know you know call me,cnfm appt
Technician now,cnfm appt
I'm just making sure that they're still coming,cnfm appt
Just checking it's a good day drive at nine,cnfm appt
Just confirming,cnfm appt
What time is my appointment scheduled,cnfm appt
Can you tell me appointments like today,cnfm appt
Just wanted to confirm the time,cnfm appt
It's fine I just member what time,cnfm appt
I miss the fall from technician,cnfm appt
Can you confirm the technician to call me,cnfm appt
The commission called me I could love you to the phone,cnfm appt
You guys just called me,cnfm appt
Hey just tried to call me,cnfm appt
No I just waiting for him,cnfm appt
Confirm it,cnfm appt
Wondering if they were still coming,cnfm appt
No not happy with the appointment time,cnfm appt
Because I'm not happy with the appointment time,cnfm appt
I just want to make sure they know I'm expecting them,cnfm appt
Confirm my appointment,cnfm appt
I just want to confirm that he is coming today,cnfm appt
Give me a call soon,cnfm appt
Check to see if there is a sooner appointment clone,cnfm appt
Call me,cnfm appt
Y'all called me,cnfm appt
Yes technician call me,cnfm appt
Call technician,cnfm appt
No okay okay confirmed,cnfm appt
Okay no that's it I just want to confirm,cnfm appt
I didn't get the email that I was supposed to get regarding who the person was,cnfm appt
Hey technician to send me,cnfm appt
Need to verify if the technician is on his way,cnfm appt
Verify the appointment,cnfm appt
I just want to verify the appointment,cnfm appt
I just want to confirm the appointment,cnfm appt
Tell me again what it is,cnfm appt
Not receiving I have not received the Exuma box yet,cnfm appt
Confirm it,cnfm appt
I just appointment,cnfm appt
You gave me the wrong goddamn day for the appointment,cnfm appt
They gave me the correct appointment time and date,cnfm appt
Address the address of the appointment I want to make sure the address,cnfm appt
I want to confirm my appointment address,cnfm appt
I want to confirm the address,cnfm appt
Confirm address,cnfm appt
Confirm address,cnfm appt
Confirm,cnfm appt
I just want to keep my appointment,cnfm appt
That's fine confirmed confirm,cnfm appt
Confirm,cnfm appt
Dispatch,cnfm appt
Where is my technician,cnfm appt
Could I please get here estimated time of arrival,cnfm appt
I want to know why this guy is coming here at night,cnfm appt
I've not had I have not gotten any confirmations,cnfm appt
I don't know I thought you called,cnfm appt
Hey supposed to be tonight,cnfm appt
No confirmation,cnfm appt
I just wanted to confirmation of the appointment at seven p.m. thank you,cnfm appt
Do you have an appointment tonight,cnfm appt
Estimated appointment time,cnfm appt
No I think I just want to know what time he's gonna be here because then I'll see outreach and it won't until four thirty,cnfm appt
Twelve euros and 12 and 1 the twenty 12 and 1 technician to be here between twelve and one,cnfm appt
What time will they be here,cnfm appt
Just confirming,cnfm appt
Well the person I worked with said she was sending me some emails and I haven't received any,cnfm appt
They were supposed to call in advance we haven't heard anything,cnfm appt
Call me in front of the home,cnfm appt
Nothing I'm just confirming,cnfm appt
Confirm it,cnfm appt
I just want to make sure that they would still coming today,cnfm appt
I need you to track the technician and see where yes,cnfm appt
Current ETA technician,cnfm appt
The technician has been here he left and now it's not working again I need him to come back,cnfm appt
The technician the technician has been here,cnfm appt
He has been here and things are not working,cnfm appt
Confirm,cnfm appt
Birmingham is it gonna be here we need a technician call,cnfm appt
So I just need to know the time,cnfm appt
Okay they tell me to six o'clock but okay seven o'clock okay fine,cnfm appt
They were supposed be here at six o'clock the guy told me to seven o'clock,cnfm appt
Confirm,cnfm appt
Well they told me they would come between three and four so that plan calling,cnfm appt
Supposed to be here today,cnfm appt
I'm wondering where he easy and when will he be here,cnfm appt
Status of technician,cnfm appt
About appointment,cnfm appt
Technician yes,cnfm appt
I wanna change if you have any appointments tonight,cnfm appt
Oh lets you know your part me back,cnfm appt
No just wanna make sure it's still on,cnfm appt
You can have that's fine everything is going okay I'm here waiting for you,cnfm appt
No but I wanted to let me know it's just good to nine a.m. and ten a.m. confirm,cnfm appt
I need to confirm with mountain time,cnfm appt
I was just checking to make sure he was coming,cnfm appt
Oh I was just calling to make sure,cnfm appt
Escalate the dispatch,cnfm appt
Well they hadn't tell me the time that it was gonna be this wire,cnfm appt
Just tell me it's okay that they're coming,cnfm appt
I just wanted to confirm my appointment tomorrow,cnfm appt
I I just wanted to make sure and confirm my appointment,cnfm appt
I just wanted to confirm thank you,cnfm appt
Correct my technician,cnfm appt
Where's my technician,cnfm appt
Oh that's all I need to know what time you know being used to be able five o'clock,cnfm appt
Just making sure we're still,cnfm appt
Make sure the correct person is assigned to my service appointment,cnfm appt
Where is the technician,cnfm appt
I'm calling,cnfm appt
Appointment time,cnfm appt
Yes checking on my appointment,cnfm appt
The technician hasn't contacted me,cnfm appt
The technician was here didn't come in and drove away,cnfm appt
Need to confirm the technician is still coming,cnfm appt
I would like to know if I had to pay him to pull the Internet,cnfm appt
I would like to know if I had to pay him,cnfm appt
Confirm appointment,cnfm appt
Call me,cnfm appt
Call Chris called me but it was um probably,cnfm appt
About the appointment for tomorrow,cnfm appt
What time is it,cnfm appt
I have some questions for a sales associate,cnfm appt
I need a technician to be there sooner,cnfm appt
Need to discuss with a technician,cnfm appt
Confirm appointment time,cnfm appt
Confirming appointment,cnfm appt
No thank you accept again I'll call back,cnfm appt
Confirm appointment,cnfm appt
I'd like to keep my appointment,cnfm appt
Just let me know when he will be here because I've been here all day waiting for him,cnfm appt
Just checking on appointment status,cnfm appt
Where is the technician,cnfm appt
What time is the appointment,cnfm appt
Oh it was supposed to be ten o'clock this morning so the technician will be Barrett three today,cnfm appt
When is the technician going to be here,cnfm appt
Technician,cnfm appt
I just wanted to confirm it,cnfm appt
I'm waiting for maintaining sure,cnfm appt
I just wanted to confirm it,cnfm appt
Regarding appointment time and day,cnfm appt
Confirm,cnfm appt
Okay do they have one in the morning,cnfm appt
Thank you that was supposed to be coming today between three and four,cnfm appt
Just confirming thank you,cnfm appt
The technician has already been here and told me to call you,cnfm appt
I'm calling about my appointment,cnfm appt
As a technician on his way,cnfm appt
Follow up call,cnfm appt
Nothing I just missed the technician,cnfm appt
I just know my Medicare part B okay,cnfm appt
I want to have you look at our main TV for the on-demand it's not working,cnfm appt
Travis technician,cnfm appt
No that's alright that's all I just needed to know the time,cnfm appt
It says the technician has arrived,cnfm appt
Connect me with a technician,cnfm appt
I need to know if he'll be inside or outside my house,cnfm appt
Scheduled appointment,cnfm appt
Just confirming,cnfm appt
Would you would you give me that the time again please,cnfm appt
That's all I needed to know,cnfm appt
This call this number let me know,cnfm appt
Call me at work,cnfm appt
Just checking the time thank you,cnfm appt
I'm calling,cnfm appt
I need to know what is that,cnfm appt
Technician,cnfm appt
Nothing just wanted to confirm,cnfm appt
The technician is not here yet just double checking to see if you might know where he is,cnfm appt
I'm I'm going to go to the my folder and find it I don't know I don't have it memorized,cnfm appt
I want to know where the technician is right now,cnfm appt
Wanting to know if technician is coming,cnfm appt
Just confirming,cnfm appt
I like to know about Apple TV,cnfm appt
Verify,cnfm appt
Just like to know when yeah,cnfm appt
I need to know my appointment time,cnfm appt
I'm just trying to see if they're gonna have to get into the,cnfm appt
I need a technician now,cnfm appt
Time,cnfm appt
Technician today,cnfm appt
Scheduled appointment,cnfm appt
Correct,cnfm appt
That's fine I'm just confirming the appointment eleven eleven a.m. is fine,cnfm appt
Technician,cnfm appt
Waiting on the technicians,cnfm appt
Confirm appointment,cnfm appt
I was just checking the time thank you,cnfm appt
Okay it's okay I'm confirming yes yes,cnfm appt
Okay it's Comporium I'm calling to confirm,cnfm appt
It's good I'm calling to confirm to confirm,cnfm appt
Confirmation,cnfm appt
Technician will not show up,cnfm appt
Technician didn't show up,cnfm appt
I was just checking to see if that was correct,cnfm appt
Okay okay so what time today,cnfm appt
Correct thank you,cnfm appt
He hasn't shown up yet,cnfm appt
Confirm,cnfm appt
Just call me when a girl,cnfm appt
Yes additional directions to driver,cnfm appt
I need to confirm my appointment on this phone call,cnfm appt
I'm calling you back,cnfm appt
I was just wondering if they have you know that line is down on the ground,cnfm appt
I just wanted to confirm,cnfm appt
I wanted to confirm if you're still at the same time,cnfm appt
I assume you are confirming the time,cnfm appt
Hi this is calling the appointment time line is between twelve and one today,cnfm appt
I was just verifying someone just called me from your office,cnfm appt
Tell me baby here between eight and nine o'clock,cnfm appt
I never got a text message confirmation,cnfm appt
Would like to know when that is,cnfm appt
Confirm,cnfm appt
Technician was already here but I was at work no home,cnfm appt
No he has not arrived he must have dollar anything he hasn't arrived,cnfm appt
That's it I just wanted to confirm,cnfm appt
Yeah call me,cnfm appt
Tech is supposed to be here between ten and eleven,cnfm appt
Tech firm,cnfm appt
Okay I just wonder what time is coming,cnfm appt
Well somebody called a few minutes ago and I didn't get the phone in time but we are at home,cnfm appt
I am waiting for the service,cnfm appt
Local dispatch,cnfm appt
Update,cnfm appt
I wanna know why the technician is coming today,cnfm appt
Thank you I will wait for the technician,cnfm appt
I just double checking on the appointment,cnfm appt
I got a call reminding me the appointment I still want the technician to come,cnfm appt
Tell me what my phone,cnfm appt
Just confirming,cnfm appt
My appointment time,cnfm appt
Confirm,cnfm appt
When is my appointment,cnfm appt
Confirm appointment,cnfm appt
What date,cnfm appt
Dispatch,cnfm appt
Dispatch,cnfm appt
Question about time on the appointment tomorrow,cnfm appt
Confirm,cnfm appt
Just confirming,cnfm appt
Change time of appointment,cnfm appt
Technician called the wrong house,cnfm appt
No it has nothing to do with our appointment do you know if there's any outage over on this site,cnfm appt
No you haven't helped with this,cnfm appt
Well I was just wanting to know what time he might be here,cnfm appt
Your technician is being rude and aggressive with myself and my wife,cnfm appt
That's checking on a confirmation,cnfm appt
I'm just checking about your supposed beards seven,cnfm appt
Request a start technician,cnfm appt
Reclast technician,cnfm appt
Confirm,cnfm appt
Technician call me,cnfm appt
We'll be here just to confirm,cnfm appt
Waiting on a technician,cnfm appt
It's almost six o'clock in my technician is not showing up,cnfm appt
No nothing I just need a confirmation thank you,cnfm appt
Just confirming,cnfm appt
Well they supposed to call me from here so I can go out to go,cnfm appt
I just wanna make sure he's gonna show up,cnfm appt
Just checking on the time,cnfm appt
Technician,cnfm appt
Just confirming it,cnfm appt
I called yesterday about that and it's still not right,cnfm appt
The technician,cnfm appt
Call me from there,cnfm appt
Just checking this time,cnfm appt
Confirm my appointment,cnfm appt
Verify it,cnfm appt
Verify,cnfm appt
I'm just waiting thank you,cnfm appt
Technician just passed by our house is coming back,cnfm appt
I was just wondering if the service technician is in the area yes if it all possible if you can come now,cnfm appt
Service call,cnfm appt
I want to speak about what will be happening tomorrow on my appointment,cnfm appt
Confirm,cnfm appt
Tell me the date,cnfm appt
The technician showed up but didn't do anything and left,cnfm appt
What time is my appointment tomorrow,cnfm appt
Change time of appointment,cnfm appt
Confirm,cnfm appt
Just confirming thank you,cnfm appt
That's all I needed to know thank you,cnfm appt
I want to know what the appointment was for what he's going to come do it by,cnfm appt
I want to know what he's going to come for,cnfm appt
No they had the dog just was fear,cnfm appt
What time is it now,cnfm appt
I don't know I'm calling for this landowner,cnfm appt
Checking the status of the appointment,cnfm appt
I have heard nothing from them so I am wondering if somebody is still coming,cnfm appt
No I'm just waiting for him,cnfm appt
Yes I'm calling to verify,cnfm appt
Technician is driven by my house three times and not stopped,cnfm appt
C appointment keeps changing the time and I need to speak to the reference to the technician,cnfm appt
I just wanna know if he's gonna come,cnfm appt
I was just calling to verify that there would be a technician here today,cnfm appt
The technician on the way,cnfm appt
Is the technician on his way,cnfm appt
Just wanna make sure it's okay confirmed between three and four,cnfm appt
Hello what time will the technician get here,cnfm appt
I just want to make sure they come on Saturday,cnfm appt
I wanna manage it here I want somebody come here,cnfm appt
I just want to keep an appointment I want to make sure they're coming,cnfm appt
Call technician,cnfm appt
Call the technician,cnfm appt
Send me the technician tracking link,cnfm appt
That's what I wanted to know thank you,cnfm appt
What time is it,cnfm appt
Just making sure that it was confirmed,cnfm appt
Connect me to a service tech,cnfm appt
My appointment did not arrive,cnfm appt
Appoinement technician,cnfm appt
They called and I couldn't answer the phone,cnfm appt
I need to have a tech knows how to go three infrastructure rebuilding to connect the cable through,cnfm appt
Confirm it,cnfm appt
The appointment was supposed to be confirmed before they arrive they haven't called me yet,cnfm appt
I need a technician to call me before they arrive,cnfm appt
I just wanted to verify that they are coming tomorrow,cnfm appt
Just making sure they're coming,cnfm appt
Somebody called and wanted me to call back about my appointment,cnfm appt
Please confirm,cnfm appt
I just needed to confirm so thank you,cnfm appt
Someone had called me,cnfm appt
It's that's oh you're wanting to tell me that's fine you've helped me,cnfm appt
Service call,cnfm appt
Confirming arrival time,cnfm appt
Service arrival time,cnfm appt
Someone please,cnfm appt
Just verify my appointment,cnfm appt
Confirm,cnfm appt
Tech mission beach,cnfm appt
That's all I wanted to know,cnfm appt
Confirm appointment,cnfm appt
Because you called me,cnfm appt
I don't know you called me,cnfm appt
The technician that I am here,cnfm appt
Connect with technician,cnfm appt
Tech was trying to call me,cnfm appt
Confirm my appointment,cnfm appt
Confirm appointment,cnfm appt
Yes I'm calling about they gave me a number is eight eight eight do have that number,cnfm appt
Wanted to confirm appointment,cnfm appt
Confirm,cnfm appt
Have not heard from the tech,cnfm appt
I don't want it I want I want the cell service,cnfm appt
Connect me to the technician,cnfm appt
Correct address,cnfm appt
Appointment time is wrong,cnfm appt
Where's my technician,cnfm appt
Where's my technician,cnfm appt
Confirm,cnfm appt
What is his expected delivery time arrival time,cnfm appt
Okay everything is okay I was just checking to see if it was still,cnfm appt
Okay I thought it was at one o'clock so they're not light I'm just here waiting on them that's it thank you,cnfm appt
I'm not sure what appointments for,cnfm appt
Confirming appointment time,cnfm appt
Confirm,cnfm appt
Confirmation confirm appointment,cnfm appt
No thank you have a good day,cnfm appt
We haven't received a call regarding,cnfm appt
Oh I just wanted to make sure that they would be,cnfm appt
I was just checking to see what time my appointment was,cnfm appt
Department was calling on my long call phone call from Paul to confirm an appointment,cnfm appt
Just making sure that he still coming,cnfm appt
I'm ready I'm ready for the technician to come,cnfm appt
I was just make sure they were still coming,cnfm appt
I'm calling about I'm not getting any service at all right now,cnfm appt
